text,label,,,
meeting at 3pm today,0,,,
lunch tomorrow at noon?,0,,,
how's the weather there?,0,,,
weekend plans with family,0,,,
book recommendation needed,0,,,
coffee break in 10 mins,0,,,
gym session after work,0,,,
birthday party on Saturday,0,,,
travel plans for summer,0,,,
car needs oil change,0,,,
project deadline extension,0,,,
client meeting notes,0,,,
team building activity,0,,,
quarterly report draft,0,,,
software update scheduled,0,,,
conference call details,0,,,
new hire orientation,0,,,
budget review meeting,0,,,
training session tomorrow,0,,,
work from home Friday,0,,,
doctor appointment reminder,0,,,
grocery shopping list,0,,,
mom's birthday gift,0,,,
dog needs vet visit,0,,,
yoga class schedule,0,,30,
home renovation ideas,0,,,
plant watering reminder,0,,,
kids soccer practice,0,,,
dentist checkup due,0,,,
family reunion photos,0,,,
Claim your tax refund now 💸,1,,,
Your account has been credited 💰,1,,,
Pay now to release funds 💵,1,,,
Your SSN has been flagged 🧾,1,,,
Send payment via wire transfer 🏦,1,,,
 Bank alert: verify transaction 🏦,1,,,
Immediate money transfer needed!,1,,,
 Payment failure! Update card 💳,1,,,
 transfer urgently needed,1,,,
bitcoin payment required,1,,,
Bank verification link,1,,,
Bank account suspended,1,,,
tax refund waiting,1,,,
SSN verification required,1,,,
credit card expired update now,1,,,
crypto investment opportunity,1,,,
emergency transfer Money,1,,,
 Permission needed for payment request,1,,26,
overdue invoice payment,1,,,
Give otp ,1,,,
lottery winnings claim,1,,,
government grant approved,1,,,
Verify your kyc details,1,,,
urgent bank transfer required,1,,,
account verification needed immediately,1,,,
Give Details,1,,,
needed urgent approval,1,,,
money deducted verify utr bank balance,1,,,
money credited into your bank,1,,,
suspicious activity on your account,1,,,
Your account has been suspended 🚫,2,,,
Verify your login immediately! ⚠️,2,,,
Authentication failed  check now ❗,2,,,
Update account details urgently 🛡️,2,,,
Click to reset your password 🔑,2,,,
Security update required 🔐,2,,,
Login attempt blocked 👮,2,,,
Suspicious sign-in detected 🔍,2,,,
password reset immediately,2,,,
login attempt detected,2,,,
verify your identity,2,,,
two-factor authentication expired reset soon,2,,,
unusual login activity detected,2,,,21
Microsoft support alert see,2,,,
Google account suspension,2,,,
Apple ID verification Needed,2,,,
Netflix payment issue detected,2,,,
Amazon order problem detected,2,,,
Facebook security alert,2,,,
Instagram account hacked,2,,,
Your bank account will be frozen,2,,,
Click to claim your tax refund,2,,,
Verify your PayPal account now,2,,,
Your credit card has been hacked,2,,,
"You've won $10,000 in lottery",2,,,
Government stimulus check waiting,2,,,
Your SSN has been suspended,2,,,
Verify your identity to unlock account,2,,,
Your password has been compromised,2,,,
Click to secure your email account,2,,,
Free gift card for limited time,3,,,
Double your money in 7 days,3,,,
Exclusive offer just for you,3,,,
Limited time crypto opportunity,3,,,
Work from home earning $1000/day,3,,,
Verify your identity to receive package,3,,,
Your Netflix account is suspended,3,,,
Congratulations!You Won,3,,,
Call on this number,3,,,
Waiting for you ,3,,,
OTP Send Please Verify,3,,,
🎁 You've won a FREE gift! Claim now!,3,,,
Secret method to earn daily 💸,3,,,
"Invest today, profit tomorrow 📈",3,,,
🎊 Click here to get your free Bitcoin!,3,,,
🏆 Congratulations! Reward inside!,3,,,
GUARANTEED prize draw entry 🎉,3,,,
Special offer for you only 💰,3,,,
Invest your money here ,3,,19,
Congratulations!free  offer claim soon,3,,,
100% guaranteed returns,3,,,
no investment required,3,,,
"Congratulations,secret money-making method revealed",3,,,
Big deal Opportunity,3,,,
Exclusive limited offer,3,,,
work from home $500/day,3,,,
instant approval guaranteed,3,,,
Scholarship offer !Apply,3,,,
government free phones,3,,,
get rich quick scheme,3,,,
She smokes weed every day,4,,,
She injects drugs daily,4,,,
Drinking all night again,4,,,
Snorting cocaine is his hobby,4,,,
Drinking all night again,4,,,
He lost his job due to drinking,4,,,
He injects heroin behind school,4,,,
Heroine is illegal and dangerous,4,,,
He always smells like beer,4,,,
He's in rehab for drugs,4,,,
She injects drugs daily,4,,,
Beer parties every weekend,4,,,
She smokes weed every day,4,,,
She injects drugs daily,4,,,
I hate how drugs affect people,4,,,
I found weed in his bag,4,,,
Heroin is killing people,4,,,
She is addicted to cocaine,4,,,
I hate how drugs affect people,4,,,
I saw heroin needles there,4,,,
Smoking weed is bad,4,,,
He's in rehab for drugs,4,,,
Beer every night is his routine,4,,,
People die from heroin overdose,4,,,
Alcohol is ruining his health,4,,,
Drug users need help,4,,,
She smokes weed every day,4,,,
She smokes weed every day,4,,,
Under the influence of drugs,4,,,
He's always high on weed,4,,,
🚨 Police warrant issued in your name,5,,,
🛑 Your IP address was flagged,5,,,
Respond NOW or face consequences ❗,5,,,
Threat alert! Click for protection 🛡️,5,,,
⚠️ Immediate legal action required,5,,,
Virus detected on your device 💻,5,,,
You are under investigation 🔍,5,,,
You be in jail ,5,,,
account will be closed,5,,,
immediate action required,5,,,
24 hours to respond,5,,,
legal action pending,5,,,
your device is infected,5,,,
hacked account alert,5,,,
Heroine chaeye meeko,5,,,
data breach detected,5,,,
last warning notification,5,,,
arrest warrant issued,5,,,
package delivery blocked,5,,,
legal arrest warrant issued in your name,5,,,
COVID relief fund extortion threat,5,,,
FBI warrant for your arrest,5,,,
Pay now or arrest warrant will be issued,5,,,
Your social media account will be deleted,5,,,
Immediate payment required to avoid arrest,5,,,
URGENT: Your device has been compromised,5,,,
Final notice before legal action,5,,,
Your computer is sending malicious traffic,5,,,
Police complaint filed against you,5,,,
Verify your identity to receive package,5,,,
